feature_name;method;feature_rank;dataset
hasAssociation;CART;11.0;austin_housing
hasGarage;CART;23.5;austin_housing
hasSpa;CART;23.5;austin_housing
hasView;CART;23.5;austin_housing
homeType;CART;16.0;austin_housing
parkingSpaces;CART;23.5;austin_housing
yearBuilt;CART;4.0;austin_housing
numPriceChanges;CART;11.0;austin_housing
numOfAppliances;CART;8.0;austin_housing
numOfParkingFeatures;CART;16.0;austin_housing
numOfPatioAndPorchFeatures;CART;16.0;austin_housing
numOfSecurityFeatures;CART;16.0;austin_housing
numOfWindowFeatures;CART;23.5;austin_housing
lotSizeSqFt;CART;16.0;austin_housing
livingAreaSqFt;CART;1.0;austin_housing
avgSchoolDistance;CART;11.0;austin_housing
avgSchoolRating;CART;6.0;austin_housing
avgSchoolSize;CART;9.0;austin_housing
MedianStudentsPerTeacher;CART;16.0;austin_housing
numOfBathrooms;CART;3.0;austin_housing
numOfBedrooms;CART;16.0;austin_housing
numOfStories;CART;23.5;austin_housing
season;CART;7.0;Bike_sharing
yr;CART;3.0;Bike_sharing
mnth;CART;9.5;Bike_sharing
hr;CART;1.0;Bike_sharing
holiday;CART;12.0;Bike_sharing
weekday;CART;9.5;Bike_sharing
workingday;CART;4.0;Bike_sharing
weathersit;CART;7.0;Bike_sharing
temp;CART;2.0;Bike_sharing
atemp;CART;7.0;Bike_sharing
hum;CART;5.0;Bike_sharing
windspeed;CART;11.0;Bike_sharing
EPA Fuel Economy Est - City (MPG);CART;10.0;cars
Engine;CART;28.0;cars
Drivetrain;CART;16.5;cars
Passenger Capacity;CART;21.0;cars
Passenger Doors;CART;33.0;cars
Wheelbase (in);CART;4.0;cars
SAE Net Torque @ RPM;CART;14.0;cars
Fuel System;CART;9.0;cars
SAE Net Horsepower @ RPM;CART;2.0;cars
Displacement;CART;7.0;cars
Trans Description Cont.;CART;21.0;cars
Trans Type;CART;28.0;cars
Air Bag-Side Head-Front;CART;28.0;cars
Air Bag-Side Head-Rear;CART;28.0;cars
Child Safety Rear Door Locks;CART;21.0;cars
Daytime Running Lights;CART;28.0;cars
Traction Control;CART;21.0;cars
Night Vision;CART;33.0;cars
Rollover Protection Bars;CART;28.0;cars
Basic Miles/km;CART;1.0;cars
Basic Years;CART;16.5;cars
Corrosion Miles/km;CART;33.0;cars
Corrosion Years;CART;21.0;cars
Drivetrain Miles/km;CART;14.0;cars
Drivetrain Years;CART;5.0;cars
Turning Diameter - Curb to Curb (ft);CART;11.0;cars
Front Wheel Material;CART;28.0;cars
Roadside Assistance Miles/km;CART;21.0;cars
Manufacturer;CART;6.0;cars
Model year;CART;3.0;cars
Category;CART;21.0;cars
Front tire width;CART;14.0;cars
Front tire aspect ratio;CART;12.0;cars
Front tire rim size;CART;8.0;cars
bedrooms;CART;11.0;USA_houseprices_2014
bathrooms;CART;4.0;USA_houseprices_2014
sqft_living;CART;2.0;USA_houseprices_2014
sqft_lot;CART;5.0;USA_houseprices_2014
floors;CART;12.0;USA_houseprices_2014
waterfront;CART;7.5;USA_houseprices_2014
view;CART;9.5;USA_houseprices_2014
condition;CART;1.0;USA_houseprices_2014
sqft_basement;CART;9.5;USA_houseprices_2014
year_since_1st_renovation;CART;7.5;USA_houseprices_2014
city;CART;6.0;USA_houseprices_2014
statezip;CART;3.0;USA_houseprices_2014
have_basement;CART;13.0;USA_houseprices_2014
bedrooms;elastic_net;3.0;USA_houseprices_2014
bathrooms;elastic_net;9.0;USA_houseprices_2014
sqft_living;elastic_net;1.0;USA_houseprices_2014
sqft_lot;elastic_net;2.0;USA_houseprices_2014
floors;elastic_net;11.0;USA_houseprices_2014
waterfront;elastic_net;4.0;USA_houseprices_2014
view;elastic_net;5.0;USA_houseprices_2014
condition;elastic_net;7.0;USA_houseprices_2014
sqft_basement;elastic_net;6.0;USA_houseprices_2014
year_since_1st_renovation;elastic_net;12.0;USA_houseprices_2014
city;elastic_net;8.0;USA_houseprices_2014
statezip;elastic_net;10.0;USA_houseprices_2014
have_basement;elastic_net;13.0;USA_houseprices_2014
zipcode;elastic_net;9.0;austin_housing
latitude;elastic_net;13.0;austin_housing
longitude;elastic_net;8.0;austin_housing
propertyTaxRate;elastic_net;7.0;austin_housing
garageSpaces;elastic_net;26.0;austin_housing
hasAssociation;elastic_net;2.0;austin_housing
hasGarage;elastic_net;20.0;austin_housing
hasSpa;elastic_net;18.0;austin_housing
hasView;elastic_net;21.0;austin_housing
homeType;elastic_net;22.0;austin_housing
parkingSpaces;elastic_net;27.0;austin_housing
yearBuilt;elastic_net;11.0;austin_housing
numPriceChanges;elastic_net;10.0;austin_housing
numOfAppliances;elastic_net;25.0;austin_housing
numOfParkingFeatures;elastic_net;15.0;austin_housing
numOfPatioAndPorchFeatures;elastic_net;16.0;austin_housing
numOfSecurityFeatures;elastic_net;24.0;austin_housing
numOfWindowFeatures;elastic_net;23.0;austin_housing
lotSizeSqFt;elastic_net;12.0;austin_housing
livingAreaSqFt;elastic_net;1.0;austin_housing
avgSchoolDistance;elastic_net;19.0;austin_housing
avgSchoolRating;elastic_net;5.0;austin_housing
avgSchoolSize;elastic_net;14.0;austin_housing
MedianStudentsPerTeacher;elastic_net;17.0;austin_housing
numOfBathrooms;elastic_net;3.0;austin_housing
numOfBedrooms;elastic_net;6.0;austin_housing
numOfStories;elastic_net;4.0;austin_housing
property_type;elastic_net;11.0;Airbnb_price
room_type;elastic_net;1.0;Airbnb_price
amenities;elastic_net;13.0;Airbnb_price
accommodates;elastic_net;4.0;Airbnb_price
bathrooms;elastic_net;3.0;Airbnb_price
bed_type;elastic_net;14.0;Airbnb_price
cancellation_policy;elastic_net;15.0;Airbnb_price
cleaning_fee;elastic_net;16.0;Airbnb_price
city;elastic_net;5.0;Airbnb_price
host_has_profile_pic;elastic_net;17.0;Airbnb_price
host_identity_verified;elastic_net;18.0;Airbnb_price
instant_bookable;elastic_net;8.0;Airbnb_price
latitude;elastic_net;6.0;Airbnb_price
longitude;elastic_net;9.0;Airbnb_price
number_of_reviews;elastic_net;12.0;Airbnb_price
review_scores_rating;elastic_net;10.0;Airbnb_price
bedrooms;elastic_net;2.0;Airbnb_price
beds;elastic_net;7.0;Airbnb_price
EPA Fuel Economy Est - City (MPG);elastic_net;27.0;cars
Engine;elastic_net;9.0;cars
Drivetrain;elastic_net;24.0;cars
Passenger Capacity;elastic_net;28.0;cars
Passenger Doors;elastic_net;20.0;cars
Wheelbase (in);elastic_net;5.0;cars
SAE Net Torque @ RPM;elastic_net;6.0;cars
Fuel System;elastic_net;18.0;cars
SAE Net Horsepower @ RPM;elastic_net;2.0;cars
Displacement;elastic_net;29.0;cars
Trans Description Cont.;elastic_net;21.0;cars
Trans Type;elastic_net;7.0;cars
Air Bag-Side Head-Front;elastic_net;30.0;cars
Air Bag-Side Head-Rear;elastic_net;25.0;cars
Child Safety Rear Door Locks;elastic_net;14.0;cars
Daytime Running Lights;elastic_net;26.0;cars
Traction Control;elastic_net;11.0;cars
Night Vision;elastic_net;31.0;cars
Rollover Protection Bars;elastic_net;15.0;cars
Basic Miles/km;elastic_net;1.0;cars
Basic Years;elastic_net;4.0;cars
Corrosion Miles/km;elastic_net;10.0;cars
Corrosion Years;elastic_net;22.0;cars
Drivetrain Miles/km;elastic_net;32.0;cars
Drivetrain Years;elastic_net;3.0;cars
